Unnamed: 0,book_tod,book_dow,book_category,book_staff,last_category,last_staff,last_day_services,last_receipt_tot,last_dow,last_tod,last_noshow,last_prod_flag,last_cumrev,last_cumbook,last_cumstyle,last_cumcolor,last_cumprod,last_cumcancel,last_cumnoshow,noshow,recency
366,morning,Thursday,STYLE,BECKY,STYLE,BECKY,1,60.0,Friday,afternoon,0,0,60,1,1,0,0,0,0,0,13
369,afternoon,Saturday,STYLE,BECKY,COLOR,JOANNE,2,245.0,Friday,afternoon,0,1,220,2,1,1,2,0,0,0,64
370,afternoon,Saturday,COLOR,JOANNE,COLOR,JOANNE,2,245.0,Friday,afternoon,0,1,220,2,1,1,2,0,0,0,64
372,evening,Thursday,STYLE,JOANNE,STYLE,BECKY,1,60.0,Friday,evening,0,0,60,1,1,0,0,0,0,0,6
373,evening,Thursday,COLOR,JOANNE,STYLE,BECKY,1,60.0,Friday,evening,0,0,60,1,1,0,0,0,0,0,6
375,afternoon,Wednesday,STYLE,KELLY,STYLE,KELLY,1,113.5,Wednesday,afternoon,0,1,55,1,1,0,1,0,0,0,35
378,morning,Friday,STYLE,JJ,STYLE,SINEAD,1,70.0,Wednesday,morning,0,0,70,1,1,0,0,0,0,0,72
379,morning,Friday,STYLE,JJ,STYLE,SINEAD,1,70.0,Wednesday,morning,0,0,70,1,1,0,0,0,0,0,72
382,afternoon,Saturday,MISC,SINEAD,MISC,SINEAD,1,0.0,Tuesday,evening,0,0,0,1,0,0,0,0,0,0,18
383,afternoon,Saturday,STYLE,SINEAD,MISC,SINEAD,1,0.0,Saturday,afternoon,0,0,0,2,0,0,0,0,0,0,35
384,afternoon,Saturday,STYLE,BECKY,STYLE,SINEAD,1,70.0,Saturday,afternoon,0,0,70,3,1,0,0,0,0,0,42
387,evening,Friday,MISC,BECKY,STYLE,BECKY,1,60.0,Tuesday,evening,0,0,60,1,1,0,0,0,0,0,31
388,afternoon,Thursday,STYLE,BECKY,MISC,BECKY,1,0.0,Friday,evening,0,0,60,2,1,0,0,0,0,0,34
391,afternoon,Wednesday,STYLE,SINEAD,STYLE,SINEAD,1,70.0,Wednesday,evening,0,0,70,1,1,0,0,0,0,0,49
402,afternoon,Saturday,STYLE,BECKY,STYLE,SINEAD,1,30.0,Tuesday,evening,0,0,30,1,1,0,0,0,0,0,46
403,afternoon,Saturday,COLOR,JOANNE,STYLE,SINEAD,1,30.0,Tuesday,evening,0,0,30,1,1,0,0,0,0,0,46
406,morning,Friday,STYLE,JJ,STYLE,JJ,1,82.0,Wednesday,evening,0,0,82,1,1,0,0,0,0,0,9
409,evening,Tuesday,STYLE,JJ,STYLE,JJ,1,82.0,Friday,evening,0,0,82,1,1,0,0,0,0,0,60
412,morning,Tuesday,STYLE,BECKY,STYLE,SINEAD,1,70.0,Tuesday,morning,0,0,70,1,1,0,0,0,0,0,56
419,evening,Friday,STYLE,BECKY,STYLE,BECKY,1,30.0,Saturday,afternoon,0,0,30,1,1,0,0,0,0,0,27
420,morning,Saturday,STYLE,BECKY,STYLE,BECKY,1,50.0,Friday,evening,0,0,80,2,2,0,0,0,0,0,43
440,evening,Tuesday,STYLE,SINEAD,MISC,SINEAD,1,0.0,Thursday,evening,0,0,0,1,0,0,0,0,0,0,40
442,afternoon,Wednesday,STYLE,JJ,STYLE,JJ,1,82.0,Saturday,morning,0,0,82,1,1,0,0,0,0,0,46
453,afternoon,Sunday,STYLE,BECKY,STYLE,BECKY,1,60.0,Tuesday,evening,0,0,60,1,1,0,0,0,0,0,5
458,evening,Thursday,STYLE,BECKY,STYLE,JJ,1,52.0,Thursday,evening,0,0,266,6,6,0,0,2,1,0,14
459,afternoon,Wednesday,STYLE,TANYA,STYLE,BECKY,1,50.0,Thursday,evening,0,0,316,7,7,0,0,2,1,0,13
465,morning,Friday,STYLE,JJ,MISC,JJ,1,0.0,Friday,morning,0,0,0,1,0,0,0,0,0,0,21
466,morning,Friday,MISC,JJ,STYLE,JJ,1,60.0,Friday,morning,0,0,60,2,1,0,0,0,0,0,21
